Zipcode	SCORE	GRADE
10013	5	A
10065	7	A
11102	24	
10022	47	
10454	51	
10472	28	
11212	15	
11103	28	
11101	24	
11237		
10027	12	A
10024	42	C
10010	13	A
10466	10	A
10028	35	
11229	9	A
10016	68	
11205	10	A
10034	12	A
10475	7	A
10009	11	A
11209	12	A
11379	17	
11104	6	A
10027	7	A
10012	21	
10001	30	
11220		
10019	6	A
11368	13	A
10018	12	A
11237	30	
11375	12	A
11427		
10036	33	
11366	12	A
11417	60	
10065	7	A
11234	9	A
11216	10	A
11224	18	Z
	37	
11417	36	
11204	5	A
10012	16	
10169	24	
10458	9	A
11203	7	A
10009	17	
11421	29	
10002		
10303	20	
11214	10	A
11201	9	A
10017	13	
10036	44	
11217	9	A
11236	10	
10029	20	B
10003	12	A
10014	12	A
11413	11	A
10462	12	A
11419	19	
10128	38	
10038	12	A
10471	17	
10025	32	Not Yet Graded
10014	24	B
10463	21	
11377	9	A
10022	22	
	48	
10014	72	Z
11203	12	A
11419	32	
10004	7	A
11103	28	
11237	49	C
10065	21	
10036	20	
11101	10	A
11368	23	B
11373	8	A
11211	12	A
11235	13	A
10038	10	A
11354	12	A
10014	23	
10454	9	A
10013	9	A
11360	17	
10069		
10012	39	
11235	21	B
11354	18	
11435	23	
11204	11	A
10017	26	
11222	22	
11103	13	A
10012	35	
11215	12	A
11222	22	
11434	13	A
10003	4	A
11694	21	
10018	13	A
10012		
10040	17	
10023	10	A
11432	11	A
10019	8	A
10282	23	B
11434	12	A
11220		
10003	5	A
10462	11	A
10011	19	
11366	8	
11207	39	
11231	9	A
11372	16	
11430	5	A
11374	24	
10019	9	A
11213	13	
10014	11	A
10468	29	
11201	12	A
11354	33	
11206	9	A
10003	21	
11237	9	A
10306	10	A
11237	10	A
10002	9	A
10022	16	
11238	46	
10016	13	A
11219	3	A
11103	12	A
11218	59	
11210	13	A
10038	12	A
10012	7	A
10014	16	
10010	41	
10014	19	
10014	9	A
11215	7	A
11226	11	A
10036	26	
10012	20	B
11203	12	
10036	11	A
11377	25	
11354	27	B
10023	41	
11209	18	
10010	19	
10018	11	
11201	32	
10036	60	
11233	8	A
11215	35	
11231	8	A
10030	17	
10065		
11104	51	
11224	9	A
11368	43	
10470	10	A
11235	7	A
11213	55	
11201	29	
10032	9	A
11215	17	
11354	29	
10016	32	
10312	12	A
10463	33	
11358	12	A
10019	2	A
11101	10	A
10301		
11215	12	A
10003	13	A
11212	17	
10018	11	A
10023	10	A
11222	12	A
11211	12	A
11102	13	
11377	7	A
11220	26	
11105	59	
10280	34	
11211	11	A
10019	11	A
10012	15	B
11377	12	
11368	12	A
10033	13	A
11385	0	
10003		
10461	7	A
11225	23	
10468	32	
10306	9	A
10002	12	A
11103	21	
10003	13	A
11220	11	
10012	13	A
10016	20	
11423	29	C
10022	32	
10022	30	
11373	12	
11216	0	P
10301	32	
11222	18	
10024	15	
11222	29	
10044	31	
10036	10	A
10016	9	A
10036	24	
11412	17	
11109	26	
11411	35	
10011		
10459	8	
11237	12	A
10021	9	A
11210	11	A
10007	18	B
11365	12	A
11106	11	A
10003	24	
11214	12	A
11375	10	A
10036	42	
11374	11	A
10312	10	A
10003	9	A
11385	36	Z
11214	24	
10027	13	A
11230	12	A
11218	5	A
11226	37	
11432	49	
11372	27	Z
10028	7	A
10025	24	
10014	22	
10469	6	A
10025		
11215	22	
11230	70	
10039	19	
11435	25	
10003	20	
10036	22	
10003		
10002	12	A
11231	27	B
11432	10	A
11434	13	A
11207	11	A
11226	20	
10012	30	
10016	13	A
11231	36	
11354	28	
10007	12	A
10019	0	
11432	27	
11218	18	B
10314	8	A
10464	27	
10019		
10306	7	A
11414	12	A
11219	13	A
10011	8	A
10029	9	A
10013	11	A
10453	11	A
11249	5	A
10035	27	
10036	6	A
10011	11	A
11355	32	
10011	10	A
10305	14	
10310	10	A
11354	2	A
10034	12	A
10001	43	C
10002	45	
11209	13	A
10012	8	A
10023	7	A
11368	24	
10017	12	A
11215	11	A
11372	6	A
11420	3	A
11222	18	
10018	7	
	22	
10029	26	
11373	7	
11209	11	A
11373	25	
10003	21	
11421	15	
10281	9	A
11226	11	A
10466	12	A
11212	15	
10036	9	A
10029	40	
10464	7	A
11217	11	
11222	12	A
11422	19	
10014	2	A
11204	7	A
	26	Z
10044	31	
11101	7	A
10019	44	
11237		
11220		
10002	42	
11435	13	A
10028	30	
10014	13	A
11373	9	
11219	2	A
11354	12	A
10305	54	
10028	9	A
10011	7	
11229	33	
10038	12	A
10011		
10023	7	A
10002	13	A
10306	32	C
10024	9	
